Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
MACKIE'S ALL IN ONE,391 TEXTILE AVE,DRACUT,MA,Massachusetts,01826,1344,6,B
DUNKIN' DONUTS,1373 LAKEVIEW AVE,DRACUT,MA,Massachusetts,01826,1680,30,D
DRACUT MOBIL,1266 LAKEVIEW AVE,DRACUT,MA,Massachusetts,01826,896,4,A
SPEEDY MART,1507 LAKEVIEW AVE,DRACUT,MA,Massachusetts,01826,896,4,A
COTE'S MARKET,175 SALEM ST,LOWELL,MA,Massachusetts,01854,741,3,A
DUNKIN' DONUTS,515 PAWTUCKET BLVD,LOWELL,MA,Massachusetts,01854,1232,22,D
7-ELEVEN,63 MAMMOTH RD,LOWELL,MA,Massachusetts,01854,1120,5,B
JERRYS FOOD STORE,207 UNIVERSITY AVE,LOWELL,MA,Massachusetts,01854,448,2,A
SHREIJI CASH & CARRY,1275 PAWTUCKET BLVD # 6,LOWELL,MA,Massachusetts,01854,224,1,A
EDREES GOURMET PIZZA DELI,572 MOODY ST,LOWELL,MA,Massachusetts,01854,575,5,B
UNIVERSITY CONVENIENCE,102 UNIVERSITY AVE,LOWELL,MA,Massachusetts,01854,448,2,A
DUNKIN' DONUTS,295 VARNUM AVE # LOWELL,LOWELL,MA,Massachusetts,01854,448,8,B
DUNKIN' DONUTS,182 RIVERSIDE ST # RIVERSIDE,LOWELL,MA,Massachusetts,01854,784,14,C
4 M'S VARIETY INC,271 SCHOOL ST,LOWELL,MA,Massachusetts,01854,672,3,A
JIMMY'S CONVENIENCE STORE,286 PLEASANT ST,DRACUT,MA,Massachusetts,01826,224,1,A
NASON'S QUICK MART,1092 LAKEVIEW AVE,DRACUT,MA,Massachusetts,01826,1120,5,B
GOOD OLDE YUM YUM,101 BROADWAY RD # 21,DRACUT,MA,Massachusetts,01826,710,10,C
BROADWAY CONVENIENCE,14 BROADWAY RD,DRACUT,MA,Massachusetts,01826,1120,5,B
HANNAFORD SUPERMARKET & PHRMCY,301 PLEASANT ST,DRACUT,MA,Massachusetts,01826,2470,10,C
DELICIOUS PAISAS BAKERY,392 BRIDGE ST,LOWELL,MA,Massachusetts,01850,142,2,A
TIENBA Y PANADERIA LA BENDIC,370 BRIDGE ST,LOWELL,MA,Massachusetts,01850,672,3,A
DUNKIN' DONUTS,315 BRIDGE ST,LOWELL,MA,Massachusetts,01850,1288,23,D
DUNKIN' DONUTS,24 MERRIMACK ST # 1,LOWELL,MA,Massachusetts,01852,728,13,C
ONE STOP INTL MARKET,35 BRIDGE ST,LOWELL,MA,Massachusetts,01852,672,3,A
LA UTUADENA MARKET,11 CONCORD ST,LOWELL,MA,Massachusetts,01852,247,1,A
DELICIA'S BAKERY,11 KEARNEY SQ,LOWELL,MA,Massachusetts,01852,284,4,A
TOTALLY FIT NUTRITION,55 CHURCH ST,LOWELL,MA,Massachusetts,01852,151,1,A
P J'S VARIETY,195 E MERRIMACK ST,LOWELL,MA,Massachusetts,01852,448,2,A
CHIU YEUNG BAKERY,165 HIGH ST,LOWELL,MA,Massachusetts,01852,71,1,A
BATTAMBANG SUPERMARKET,125 CHURCH ST,LOWELL,MA,Massachusetts,01852,460,4,A
SILVA'S MINI MARKET,40 PERRY ST,LOWELL,MA,Massachusetts,01852,494,2,A
KENNEDY'S BUTTER & EGG STORE,13 MERRIMACK ST,LOWELL,MA,Massachusetts,01852,230,2,A
DUNKIN' DONUTS,1 HOSPITAL DR # SAINTS,LOWELL,MA,Massachusetts,01852,728,13,C
DRACUT CENTER CONVENIENCE,1388 BRIDGE ST,DRACUT,MA,Massachusetts,01826,896,4,A
DUNKIN' DONUTS,177 BROADWAY RD,DRACUT,MA,Massachusetts,01826,1008,18,C
MARKET BASKET,1235 BRIDGE ST,LOWELL,MA,Massachusetts,01850,37050,150,F
CULTURES UNITED,281 W 6TH ST,LOWELL,MA,Massachusetts,01850,494,2,A
TEDESCHI FOOD SHOPS,494 BRIDGE ST,LOWELL,MA,Massachusetts,01850,1792,8,B
TOP DONUT,603 BRIDGE ST,LOWELL,MA,Massachusetts,01850,224,4,A
RANDY MARKET,430 BRIDGE ST,LOWELL,MA,Massachusetts,01850,741,3,A
TOP DONUT,700 AIKEN ST,LOWELL,MA,Massachusetts,01850,355,5,B
LA REINA MARKET,299 W 6TH ST,LOWELL,MA,Massachusetts,01850,247,1,A
AUNTIE ROSE'S CULTURAL MARKET,28 AIKEN AVE,LOWELL,MA,Massachusetts,01850,247,1,A
STOP ONE,462 BRIDGE ST,LOWELL,MA,Massachusetts,01850,494,2,A
EL BOMBAZO MEAT MARKET,677 BRIDGE ST,LOWELL,MA,Massachusetts,01850,693,3,A
STOP ONE,426 BRIDGE ST,LOWELL,MA,Massachusetts,01850,448,2,A
